Facility Name,Physical Address,City,Latitude,Longitude
Bikita RDC-Gava Clinic,Ward 1P.Bag 594,Nyika,,
Bikita RDC-Hozvi Clinic,Ward 10P.Bag 594,Nyika,,
Bikita RDC-Marozva Clinic,Ward 32P.Bag 594,Nyika,,
Bikita RDC-Mungezi Clinic,Ward 23P.Bag 594,Nyika,,
Bikita RDC-Murwira Clinic,Ward 19,Nyika,,
Bikita RDC-Mutikizizi Clinic,Ward 6P.Bag 594,Nyika,,
Bikita RDC-Muvava Clinic,Ward 25P.Bag 594,Nyika,,
Bikita RDC-Negovanhu Clinic,Ward 14P.Bag 594,Nyika,,
Bikita RDC-Odzi Clinic,Ward 3P.Bag 594,Nyika,,
Bikita RDC-Pfupajena Clinic,Ward 5P.Bag 594,Nyika,,
Bindura Dental Surgery,106 York Street,Bindura,,
Bindura Family Clinic,Stand Number 1924New Commercial Stands,Bindura,,
Bindura Medi Centre,Stand 76 Cnr Main Street/ Second Street,Bindura,,
Bindura Medi Clinic Radiology,Stand No.76Cnr First/Second Street,Bindura,,
Bindura Medi-Clinic,76 Cnr Main and Second Street,Bindura,,
Bindura Medi-Clinic Dental Surgery,76 Cnr Street/2nd Street,Bindura,,
Bindura Municiplity -Chiwaridzo Polyclinic,Chiwaridzo RoadChiwaridzo,Bindura,,
Bindura Municiplity-Chipadze Clinic,1 Hwakanandi Street Chipadze,Bindura,,
Bindura Provincial Hospital,Bindura Provincial HospitalCnr Greenhill Road/Matepatepa Road,Bindura,,
Bindura RDC-Chinehasha Rural Healt Centre,Chinehasha Communal LandsP.O.Box 70 Concession,Bindura,,
Bindura RDC-Chiveso Rural Healt Centre,Near Murembe Primary SchoolManhenga,Bindura,,
Bindura RDC-Hatcliff Clinic,Hatcliffe Extension High Density SuburbP.O.Box 70,Bindura,,
Bindura RDC-Muonwe Rural Health Centre,Muonwe Business Centre,Bindura,,
Bindura RDC-Nyakudya Rural Healt Centre,Nyakudya Communal LandsP.O.Box 70 Concession,Bindura,,
Bindura RDC-Shutu Rural Healt Centre,Shutu Communal LandsP.O.Box 70 Concession,Bindura,,
Bindura Rehab Clinc,Cnr Main Street/ Second Street,Bindura,,
Bindura University Health Centre,1 Chimurenga RoadOff Trojan Road,Bindura,,
Bindura University Optometry Clinic,Lot 3Homans Plot,Bindura,,
Binga Pharmacy,315,Binga,,
Binga RDC-Chinego RHC,C/O Box 7,Binga,,
Binga RDC-Chunga RHC,C/O Box 7,Binga,,
Binga RDC-Lubimbi RHC,C/O Box 7,Binga,,
Binga RDC-Lusulu RHC,Box 7,Binga,,
Binga RDC-Muchesu RHC,C/O Box 7,Binga,,
Binga RDC-Pashu RHC,Dobola Ward,Binga,,
Binga RDC-Siansundu RHC,C/O Box 7,Binga,,
Binga RDC-Siansundu RHC,Siansundu Rural Area,Binga,,
Binga RDC-Sinakoma RHC,Sinakoma Ward,Binga,,
Binga RDC-Sinansengwe RHC,Sinansengwe Ward,Binga,,
Bio Analytical Laboratory,1074 Corner Masotsha and SixthParktown,Harare,,
Bio Express Laboratory,2 Zambezi Centre,Victoria Falls,,
Bio Express Labs,40 J. Tongogara Ave,Harare,,
Biogene Laboratories,155 Kwame Nkurumah Cnr 7th Street,Harare,,
Biogene Laboratories,Suite 19Gallena De Falls Complex,Victoria Falls,,
Biogene Laboratory,685Mukwa Drive,Hwange,,
Biogenix Medical Labs,44 Chingaira Street,Rusape,,
Biomedical Research and Training Institute,10 Seagrave,Harare,,
Biopath Diagnostic Laboratory,266Commercial Street,Chinhoyi,,
BioPharm(PVT)LTD,Unit 1Montagu Investments43 Highfield Road,Harare,,
Bioreference Clinical Laboratory,15 5th StreetWiston Park,Marondera,,
Biosignal Medical Laboratories and Diagnostics,60 Robert Mugabe Way,Zvishavane,,
Birchenough Bridge Family Surgery,184Birchenough Bridge Business Centre,Birchenough Bridge,,
Birchenough Bridge Family Surgery,Stand 184,Birchenough Bridge,,
Birchenough Bridge Pharmacy,191 Birchenough Bridge,Chipinge,,
Birchenough Bridge X - Imaging,Stand Number 185,Birchenough Bridge,,
Birthsider Neurosurgical Health Services,Standbic House Cnr 8th Avenue and JMN Nkomo Street,Bulawayo,,
Bishop Gaul Dental Surgery,20 Bishop Gaul AvenueBelvedere,Harare,,
Blanket Mine Clinic,Blanket Mine Old Gwanda Road,Gwanda,,
Bles Ran Pharmacy-Lobengula,73Lobengula Street,Bulawayo,,
Bless Ran Pharmacy Maphisa,Maphisa Business Centre Metro GardensMaphisa Business Centre,Bulawayo,,
Bless The Nations Mobile Clinic,Siabuwa Rural Service Centre,Binga,,
Blessed Heart Health Care Centre,Shop 21 Nkulumane Complex,Bulawayo,,
Blessed Pharmacy Chegutu,Shop 4591 Henry Hartley Street,Chegutu,,
Blessed Restoration Dental Clinic,"Stand Number 8673, Spaceman Shopping CentreGlen Norah A",Harare,,
Blood & Bone Marrow Specialist Clinic,58 Duncan RoadSurburbs,Bulawayo,,
Blue Line Medical Clinic,Shop 1Ground FloorNSSA Complex,Gwanda,,
Blue Ocean Pharmacy,50 Angwa Street Angwa CityShop G 2,Harare,,
Blue Ocean Surgery,"Flat 1 Hamptom Court, 34 Baines Avenue",Harare,,
Blue Waters Medical Centre,22417Kuwadzana Extension,Harare,,
Blue Waters Pharmacy,22417 Kuwadzana ExtKuwadzana,Harare,,
Bluelight Pharmacy,Stand A2CherimaChikonohono,Chinhoyi,,
Bluemoon Pharmacy,249 Checheche Growth Point,Chipinge,,
Bluetick Medical Centre,12447 Dzivarasekwa ExtentionDzivarasekwa,Harare,,
Bluetick Pharmacy,1247 Dzivarasekwa Extension,Harare,,
Bluffhill Maternity Centre,4031 Bluffhill Shopping CentreGilchrist Road,Harare,,
Bluffhill Medical Centre,45GilchristAvonlea,Harare,,
BMC Angwa,38Angwa Street,Harare,,
BMG Dental,Stand Number 45A Robert Mugabe Way527 BT,Bulawayo,,
BMG Diagnostics,45Robert Mugabe Way,Bulawayo,,
BMG Plumtree Clinic,Stand 62Dingumuzi,Plumtree,,
Boc Occupational Health Centre,Boc House 6Hull RoadSoutherton,Harare,,
Boddy and Malunga Physiotherapists,14 Epping RoadMount Pleasant,Harare,,
Bon Sante Family Surgery,11298,Harare,,
Bonda Mission Hospital,Bonda Mission Mutasa,Mutare,,
Bonda Pharmacy,Stand 1 Bonda Farm Sanyatwe,Nyanga,,
Bondolfi Mission Clinic,Bondolfi Mission ClinicBox 90,Masvingo,,
Bones & Joints Clinic,"Number 13 Fife Avenue, Corner Harare Street",Harare,,
Booties Pharmacies - Bulawayo,Shop 104B Fort Street,Bulawayo,,
Booties Pharmacies - Bulawayo,Shop Number 486 Robert Mugabe Way,Bulawayo,,
Booties Pharmacies - Masvingo,Stand Number 346 Corner Josiah & ED Mnangangwa Street,Masvingo,,
Booties Pharmacies - Mutare,"Shop 89, Herbert Chitepo Street, Cecil Chambers",Mutare,,
Booties Pharmacy,Shop Number 10 Village WalkBorrowdale,Harare,,
Booties Pharmacy,63Marandellas Township CBD,Harare,,
Booties Pharmacy - First Street,Shop 56 Speke AveGilford Building,Harare,,
Booties Pharmacy - Gweru,34 Robert Mugabe Way,Gweru,,
Booties Pharmacy - Highlands,Shop 45Highlands Shopping Centre,Harare,,
Booties Pharmacy - Kwekwe,57A Robert Mugabe Way,Kwekwe,,
Booties Pharmacy - Mbuya Nehanda,Shop 01 Gowero House148 Mbuya Nehanda Avenue,Harare,,
Booties Pharmacy - Montagu,"Shop 7, Montagu Shopping Centre",Harare,,
Booties Pharmacy - Westgate,Shop MP013 Ground Floor Westgate Shopping CentreWestgate,Harare,,
Booties Pharmacy Eastgate,"Shop 26, Eastgate Market",Harare,,
Booties Victoria Falls Pharmacy,Stand 3A Victoria Falls,Victoria Falls,,
Border Timbers - Charter Estate Clinic,Charter Estate P.O Box 2043,Chimanimani,,
Border Timbers-Imbeza Estate Clinic,Imbeza Estate Penhalonga,Mutare,,
Borradaile Hospital,Borradaile Trust Sir James Denham Road End,Marondera,,
Borrowdale Dental Surgery,"Block 3, Sam Levy's Village",Harare,,
Borrowdale Dental Surgery,3 Dungavern RoadBorrowdale,Harare,,
Borrowdale Fertility and Reproductive Endocrinology Clinic,4 Borrowdale Lane,Harare,,
Borrowdale Halfway House,136Harare DriveBorrowdale,Harare,,
Borrowdale Medical Centre - Dr Chidziviva,3 Dungarvon RoadBorrowdale,Harare,,
Borrowdale Medical Practice,3 Dungarvan West RoadBorrowdale,Harare,,
Borrowdale Metro Pharmacy,3 Dungarvon Road WestBorrowdale,Harare,,
Borrowdale Plastic Surgery Clinic,41 Kingsmead RoadBorrowdale,Harare,,
Borrowdale Private Hospital and Critical Care,1 Wenham Close,Harare,,
Borrowdale Pvt Hsp-Criticare Radiology Unit,1 Wenham CloseBorrowdale,Harare,,
Borrowdale Radiology,Number 3 Borrowdale Lane Borrowdale,Harare,,
Borrowdale Specialist Eye Clinic,1 Borrowdale LaneBorrowdale,Harare,,
Boston Health-Ngezi,913Turf,Mhondoro Ngezi,,
Bradford Pharmacy,Stand 227755 Robert Mugabe Rd,Harare,,
Braeside Dental Surgery,Braeside Shopping Centre,Harare,,
Braeside Pharmacy,Stand 16858Horatio AvenueBraeside,Harare,,
Braeside Surgery,Braeside Shopping Centre,Harare,,
Brain & Spine Clinic,147 Mirose CourtFive Avenue,Harare,,
Bravette Industrial Clinic,808Seke RoadProspect Industrial Park,Harare,,
Breemart Private Limited,1715 Wadzanai Township,Shamva,,
Breeze Dental Care,3342 Teebox Complex Nyamhunga,Kariba,,
Briashe Surgery,Number 6 Rowland Square Milton Park,Harare,,
Brice Pharmacy,120 CBD,Kwekwe,,
Brice Pharmacy,Stand No 6878 Mkoba 6 Shopping Centre,Gweru,,
Bridget Wolhuter Speech and Audiology Centre,St. Philips Building Materdei HospitalBurns Drive,Bulawayo,,
Bright Pharmacy,352Main Street,Chivhu,,
Bright Pharmacy,3856 Parirenyatwa Street Dzivarasekwa 2,Harare,,
Bright Pharmacy Southerton,10 Highfield RoadSoutherton,Harare,,
Bright Westgate Pharmacy,Shop MK8 Westgate Shopping Mall,Harare,,
Brio Laboratories,73623 New Lobengula,Bulawayo,,
Broadlands Dental,8 Broadlands RoadMt Pleasant,Harare,,
Brompton Mine Clinic,Brompton Mine MhondoroNgezi District,Mhondoro Ngezi,,
Brooke Clinic-Borrowdale,Shop 13Borrowdale Brooke Shopping Centre,Harare,,
Brooke Dental Clinic,Shop 7Borrowdale Brooke Shopping Centre,Harare,,
Brooke Healthcare,"Suite F201, Shamwari Complex, 2nd Street Extension",Harare,,
Brooke Medical and Dental Clinic,Shop 7Brooke Shopping CenterBorrowdale,Harare,,
Brooklink Pharmacy,Stand 43 R. Mugabe Street,Kadoma,,
Brothers Medical Services,515896th Warren Park D,Harare,,
Bruce Pharmacy Dotito,101 Mukumbura Road,Mt Darwin,,
Bruce Pharmacy-Mt Darwin,185,Mt Darwin,,
Bubblecare Pharmacy,"Mhakayakora Shop, Makande business Centre",Uzumbamarambapfungwe,,
Bubi RDC-Bona RHC,Mtshana Khumalo VillageWard 21Bubi Rural District Council,Turk Mine,,
Bubye River Ranch Clinic,Ward 16Maranda Area,Masvingo,,
Budget Health Medical Centre,81 Kaguvi Street,Harare,,
Budiriro 5 Medical Centre,"Shop Number 2, Budiriro 5 Shops",Harare,,
Budiriro 5 X-Ray Centre,Shop 3Budiriro 5 Complex,Harare,,
Budiriro Pharmacy,"9195 Shop Number 1, Budiriro Shopping Complex",Harare,,
Buhera RDC-Bangure RHC,Bangure RHCMurambindaP.Bag 2002,Buhera,,
Buhera RDC-Betera Rural Health Clinic,Betera Rural Health ClinicP.Bag 3696 Murambinda,Buhera,,
Buhera RDC-Chabata RHC,Chabata RHCMurambindaP.Bag 2002,Buhera,,
Buhera RDC-Chapwanya Clinic,MurambindaP.Bag 2002,Buhera,,
Buhera RDC-Chimbudzi RHC,Chimbudzi RHCMurambindaP.Bag 2002,Buhera,,
Buhera RDC-Chirozva Clinic,Chirozva ClinicMurambindaP.Bag 2002,Buhera,,
Buhera RDC-Chiwenga RHC,Chiwenga RHCMurambindaP.Bag 2002,Buhera,,
Buhera RDC-Chiweshe Clinic,MurambindaP.Bag 2002,Buhera,,
Buhera RDC-Garamwera RHC,Garamwera RHCMurambindaP.Bag 2002,Buhera,,
Buhera RDC-Gombe RHC,Gombe RHCMurambindaP.Bag 2002,Buhera,,
Buhera RDC-Gunura RHC,Gunura RHCMurambindaP.Bag 2002,Buhera,,
Buhera RDC-Mudanda RHC,Mudanda RHCMurambindaP.Bag 2002,Buhera,,
Buhera RDC-Mudawose RHC,Mudawose RHCMurambindaP.Bag 2002,Buhera,,
Buhera RDC-Mutepfe RHC,Mutepfe RHCMurambindaP.Bag 2002,Buhera,,
Buhera RDC-Mutiusinazita RHC,Mutiusinazita RHCMurambindaP.Bag 2002,Buhera,,
Buhera RDC-Muunyanyi Clinic,Muunyanyi ClinicMurambindaP.Bag 2002,Buhera,,
Buhera RDC-Muzokomba Rural Health centre,Muzokomba Clinic P.Bag 2002Murambinda,Buhera,,
Buhera RDC-Rambanapasi RHC,Rambanapasi RHCMurambindaP.Bag 2002,Buhera,,
Bulawayo Area Hospital,1 Medical Company Imbizo BarracksLlewellin,Bulawayo,,
Bulawayo Cancer Clinic,Suite 101First FloorHaylet House,Bulawayo,,
Bulawayo Casualty Centre,29A Jason MoyoBetween Fist and Second Avenue,Bulawayo,,
Bulawayo Centre Medical Chambers,Suite 104 Medical ChambersBulawayo Centre,Bulawayo,,
Bulawayo Centre Pharmacy,Shop 56Bulawayo Centre94 JMN Nkomo Street,Bulawayo,,
Bulawayo Dental Clinic,9826Luveve 4Inside Luveve Private Clinic,Bulawayo,,
Bulawayo Dental Practice,22A Jason Moyo Street,Bulawayo,,
Bulawayo East Surgery,Stand Number 16249Parklands,Bulawayo,,
Bulawayo Eye Clinic,121A George Silundika Street,Bulawayo,,
Bulawayo Eye Institute,Mater Dei HospitalBurns Drive Malindela,Bulawayo,,
Bulawayo Eye Institute,Suite 302Lancet House9th Avenue between J.Tongogara/S Parirenyatwa,Bulawayo,,
Bulawayo Eye Institute,302ALancet House9th Ave/J.Tongogara Street,Bulawayo,,
Bulawayo Gvt. Dental Services,Cnr 11th Ave & H/Chitepo StOld Memorial Buildings,Bulawayo,,
Bulawayo Haematology Clinic,Unit 3B Mater Dei Hospital3770 Malindela,Bulawayo,,
Bulawayo Haemodialysis Centre,Number 44th Avenue / Josiah Tongogara Street,Bulawayo,,
Bulawayo Island Hospice Services,2 George Silundika Street,Bulawayo,,
Bulawayo Medical Group Clinic,45 Robert Mugabe Way Between 3rd & 474 Avenue,Bulawayo,,
Bulawayo Mining Company - How Mine Clinic,Bulawayo Mining Company,Bulawayo,,
Bulawayo Occupational Therapy Services,22A Jason Moyo,Bulawayo,,
Bulawayo Oncology Pharmacy,Rhodes Building 9th Avenue between R.G Mugabe &G Silundika,Bulawayo,,
Bulawayo Paediatric and Family Medical Centre,"Suite 22 Medical Centre,Corner 8th and J. Tongogara",Bulawayo,,
Bulawayo Paediatric and Family Medical Centre,Room 2 of Suite 22 Medical Centre8th and J.Tongogara,Bulawayo,,
Bulawayo Polytechnic,62 Park RoadBulawayo Surbubs,Bulawayo,,
Bulawayo Urological Services,405A Lancet House 9th Ave & J. Tongorora St,Bulawayo,,
Bulawayo West Hospital,26021Cowdray Park,Bulawayo,,
Bulawayo West Pharmacy,26021 Cowdray Park,Bulawayo,,
Bulilima RDC-Dombodema Clinic,NyeleWard 4,Plumtree,,
Bulilima RDC-Huwana Clinic,HuwanaWard 8,Plumtree,,
Bulilima RDC-Madlambudzi Clinic,Madlambudzi Ward 11,Plumtree,,
Bulilima RDC-Makhulela Clinic,Makhulela Ward 9,Plumtree,,
Bulilima RDC-Masendu Clinic,Masendu Ward 7,Plumtree,,
Bulilima RDC-Ndiweni Clinic,Ndiweni Village Ward 2,Plumtree,,
Bulilima RDC-Sikhati Clinic,TshankwaWard 1,Plumtree,,
Bumble Bee Pharmacy,"190 Waterfalls Avenue, Houghton ParkWaterfalls",Harare,,
Bumble Bee Pharmacy-Harare,4292Shop 99Machipisa,Harare,,
Bumhudzo Old Peoples Hospital Home,287St Mary's,Chitungwiza,,
Burure Mission Clinic(ELCZ),Burure Mission ClinicP Bag 6225,Gokwe,,
Butler-Rees & Sanders Opticians,259Commercial Street,Chinhoyi,,
C and H Clinic,4412 Kushanda CrescentBudiriro 2,Harare,,
C and H Dental Clinic,225 Kushanda CrescentPahasha ComplexBudiriro 2,Harare,,
C and H Diagnostics Medical Ultrasound Scanning,Number 9 Samora Machel Avenue,Harare,,
C S Dental Surgery,18 East RoadBelgravia,Harare,,
C.G.Pharmacy,Shop 1A Mersey Building Parktown,Harare,,
Cairns Foods Industrial Clinic - Harare,Number 1 Upton Road,Harare,,
Cairns Foods Industrial Clinic-Mutare,10Bvumba Road,Mutare,,
Calm Care and Beauty Family Health Care,4609Mangava,Beitbridge,,
Calundike Exports Clinic,171 Mupfuti RoadRuwa,Harare,,
Calvary Medclinic,27473 Dangamvura,Mutare,,
Calvary Renal and Dialysis Centre,No. 7 Simon Muzenda Street,Masvingo,,
Cambridge Medical Centre,Stand 215Cambridge RoadAvondale,Harare,,
Cambridge Road Paediatrics,Number 14 Broadlands Road,Harare,,
Cambridge Road Paediatrics,4 Borrowdale RoadBorrowdale,Harare,,
Cambridge Road Paediatrics Emergency,Cambridge Road Entrance St Annes Hospital Stand 215,Harare,,
Campion Street Laboratory,Number 7 Campion Street,Kadoma,,
Cana Pharmacy,Stand No. 89 & 90Chinzanga Shopping Centre,Mutoko,,
Cancer Association of Zimbabwe,60 Livingstone Avenue,Harare,,
Cancer Health Clinic,8 Angus Close Avondale,Harare,,
Cande Medical Centre,5 4th Street,Marondera,,
Capital Ambulances PVT LTD,Stand Number 8819A Sante 24hr Hospital Shop Number 5Southerton,Harare,,
Capital Pharmacy - Domboshava,219 Chirodzero Business Centre,Domboshava,,
CAPS Pharmaceuticals (PVT) LTD,2Manchester RoadSoutherton,Harare,,
Cardinal Eye Care Clinic,Stand 987 Machipisa Highfield,Harare,,
Cardinal Healthcare Pharmacy,1746 Runyararo Shops,Harare,,
Care Link Medical Centre,8903Mkhosana,Victoria Falls,,
Carefirst Pharmacy,106 Mainge StreetRimuka,Kadoma,,
Carefirst Pharmacy,Shop 5 Ngena Complex,Mberengwa,,
Carelink Pharmacy,Stand Number 62,Lupane,,
Carelink Pharmacy - Bulawayo,4338 Emakhandeni,Bulawayo,,
Carelink Pharmacy Hwange,Stand 2111 Empumalanga,Hwange,,
Caremark Pharmacy,Stand Number 60 Ngundu Business Centre,Ngundu,,
Caremart Pharmacy,"Shop Number 2, Kamfinsa Arcade 178 Arcturus Road, Greendale",Harare,,
Caremax Pharmacy,shop No. 13643Zengeza 2 shopping centreZengeza 2,Chitungwiza,,
Caremed Pharmacy,70-72 Greengrove DriveAthlone Park,Harare,,
Carepath Clinical Laboratory,19324 Zengeza 4,Chitungwiza,,
Careplus Pharmacy,Stand 1033 Gokwe Centre,Gokwe,,
Carepoint Pharmacy,Stand Number 675 42 Jason Moyo/Cnr Inez Terrace,Harare,,
Carepoint Pharmacy,"Stand Number 2380, 61 R.Mugabe WayShop 1",Harare,,
Carepoint Pharmacy,113 Mbuya Nehanda Corner Albion,Harare,,
Carepoint Pharmacy,"30 Robert Mugabe Way, Cnr Chinhoyi Street",Harare,,
Carepoint Pharmacy,19 Julius Nyerere Way,Harare,,
CarePoint Pharmacy,Stand 236329 Speke AvenueCnr J.Nyerere,Harare,,
Carestream Ultrasound,115 Fife AvenueCorner 3rd Street,Harare,,
Carewell Pharmacy,146 Mbuya Nehanda,Harare,,
Carewell Pharmacy,Shop 3Sanganayi Inn ShopsTynwarld,Harare,,
Carewell Pharmacy - Avonlea,Shop No. 9A Avonlea Shopping Centre,Harare,,
Carexpress Pharmacy,57Central Avenue,Harare,,
Carexpress Pharmacy - Southerton,35Lobengula RoadSoutherton,Harare,,
Carexpress Pharmacy-Harare,Shop 1332527 K.Kaunda Avenue,Harare,,
Caring Hands,591Manhenga Business Centre,Bindura,,
Carmentis Medical Centre,Exquisicare Medical Centre1&2 Larkrise RoadBorrowdale,Harare,,
Carnaud Metalbox Clinic,35-36 Cnr Auckland & Highfield Road Southerton,Harare,,
Cassims Prosthetics & Orthotics,107 Josiah Tongogara Avenue Corner 11th Avenue,Bulawayo,,
CBD 24HR Medical Centre,158 Samora Machel Avenue,Harare,,
CBD 24HR Medical Centre,158Samora Machel Avenue,Harare,,
CBD Specialist Hospital Hemodialysis Unit,69 Central Avenue,Harare,,
CBD Specialist Hospital Maternity,69 Central Avenue,Harare,,
Cecil Chambers Dental Clinic,Suite 19Cecil Chambers Building89,Mutare,,
Cenda Eye Care,4 MIPFPumula Centre,Victoria Falls,,
Cenda Eye Care Pvt Ltd- Bulawayo,shop 2 mimosa house9th Avenue & main street,Bulawayo,,
Centenary Pharmacy,239 Gatu Business Centre,Centenary,,
Central 24HR Accident & Emergency,21 Robson Manyika Avenue,Harare,,
Central City Clinic,89 Leopold Takawira Avenue,Harare,,
Central Park Dental Clinic,Suite 24 First Floor Central Park MallCnr 2nd Street and C Avenue,Mutare,,
Central Pharmacy - Mutare,69A Herbet Chitepo Street,Mutare,,
Centre for Diabetes Management,8097Belvedere NorthBelvedere Road,Harare,,
Centre for Diabetes Management Laboratory,40278Simbarashe CloseBelvedere,Harare,,
Centrepoint Pharmacy,148Samora Machel Avenue,Harare,,
Cerdavale Medical Clinic,845 Mubairo Road Hatcliffe,Harare,,
Cerdavale Medical Clinic,125 Kwane Nkurumah Ave,Harare,,
Chachacha Pharmacy,Shop number 85Chachacha Junction Mall,Shurugwi,,
Chadcombe Medical Centre,"23 A Chadcombe Shops, Shop 4, Cloverly Road,",Harare,,
Chagwesha and Associates Occupational Therapists,1 Nurses Homeend Sir Denham roadBorrodaile Trust,Marondera,,
Chakadini Clinic,Mushapaidze VillageNenguwwo Area Ward 10,Marondera,,
Chams Ambulance Services,7852 Mangena LaneGlen norah A,Harare,,
Chams Medical Centre- Lab,7582 Mangena Lane Chitubu,Harare,,
Chams Medical Surgery,33 Area GGwenyambika ShopsMufakose,Harare,,
Chams Radiology and Ultrasound Scan,7582Mangena LaneGlennorah A,Harare,,
Channel Pharmacy - Masvingo,294 Mnangagwa St Street,Masvingo,,
Channel Surgery,400 Robert Mugabe Way,Masvingo,,
Chardley Clinic,53rd Street,Mutare,,
Charles Street Imaging Centre,581Charles Street,Chegutu,,
Charloriet Rehab and Wellness Centre,42Boscobel East RoadHighlands,Harare,,
Charms Medical Centre,7582 Mangena Lane Chitubu,Harare,,
Charter House Medical Centre Hospital,77 Fort Street,Bulawayo,,
Charterbridge Pharmacy,Shop 6 Stand 504837-39/2nd Umtali Township,Mutare,,
Chasey Dental Surgery,7Milton Road,Kadoma,,
Chasiyatende Clinic - Chivi,P.Bag 527Chivi RDC,Chivi,,
Chayil Neuroscience Institute,Suite 11Westend Clinic13 Baines Avenues,Harare,,
Chayo Health Clinic,2068Lot 1 of Spitzkop,Zvimba,,
Checheche Angel Pharmacy,Stand 354Chechehche Growth Point,Chipinge,,
Checheche Premium Clinic,Stand 470 Checheche Business Centre,Chipinge,,
Checkline Medical Centre,4102Nharira View,Norton,,
Chegutu Dental Surgery,4038 Warwick Road,Chegutu,,
Chegutu District Hospital,No. 1 Queen Street,Chegutu,,
Chegutu Nursing Home,No. 6 Wise Drive,Chegutu,,
Chegutu Pharmacy,89 Queen Street,Chegutu,,
Chegutu Population Maternity Home,2058 Maketa Heroes,Chegutu,,
Chegutu RDC-Brunswick Clinic,Brunswick ClinicWard 24,Chegutu,,
Chegutu RDC-Chikara Clinic,Chikara ClinicWard 1,Chegutu,,
Chegutu RDC-Chivero Clinic,Chivero VillageWard 8Mhondoro,Chegutu,,
Chegutu RDC-Dombwe Clinic,Dombwe Clinic Box 31Ward 15,Chegutu,,
Chegutu RDC-Homedale Clinic,Homedale ClinicWard 12,Chegutu,,
Chegutu RDC-Mafuti Clinic,-Mafuti ClinicWard 26,Chegutu,,
Chegutu RDC-Mhondoro North Clinic,Mhondoro North ClinicWard 9Mhondoro,Chegutu,,
Chegutu RDC-Mpawose Clinic,Mpawose ClinicWard 3,Chegutu,,
Chegutu RDC-Rwizi Clinic,Rwizi Village MhondoroWard 2,Chegutu,,
Chegutu RDC-Selous Clinic,Selous ClinicWard 11,Chegutu,,
Chegutu RDC-Usmore Murambe Clinic,Usmore Murambe ClinicWard 23,Chegutu,,
Chegutu RDC-Watyoka Clinic,Watyoka RHCBox 234Ward 7,Chegutu,,
Chemayde Pharmacy,15Windermere LodgeMazowe Street,Mazowe,,
Chemukute Clinic,Kadoma City Councilbox 460,Kadoma,,
Chest Medical-Dr Parirenyatwa Surgery,19ST Quinton RoadEastlea,Harare,,
Chez Nous Surgery,54 Chez Nous BuildingCnr Jason Moyo and Forth Avenue,Bulawayo,,
Chibi - Turn Surgery,P.Bag 9028Ngomahuru Hospital,Masvingo,,
Chibonda Dental Surgery,125Kwame Nkrumah Avenue,Harare,,
