facility name,physical address,city
Bindura Provincial Hospital,Bindura Provincial Hospitalcnr Greenhill Road/Matepatepa Road,Bindura
Bindura Rdc-Chinehasha Rural Healt Centre,Chinehasha Communal Landsp.O.Box 70 Concession,Bindura
Bindura Rdc-Chiveso Rural Healt Centre,Near Murembe Primary Schoolmanhenga,Bindura
Bindura Rdc-Hatcliff Clinic,Hatcliffe Extension High Density Suburbp.O.Box 70,Bindura
Bindura Rdc-Muonwe Rural Health Centre,Muonwe Business Centre,Bindura
Bindura Rdc-Nyakudya Rural Healt Centre,Nyakudya Communal Landsp.O.Box 70 Concession,Bindura
Bindura Rdc-Shutu Rural Healt Centre,Shutu Communal Landsp.O.Box 70 Concession,Bindura
Bindura Rehab Clinc,Cnr Main Street/ Second Street,Bindura
Bindura University Health Centre,1 Chimurenga Roadoff Trojan Road,Bindura
Bindura University Optometry Clinic,Lot 3Homans Plot,Bindura
Binga Pharmacy,315,Binga
Binga Rdc-Chinego Rhc,C/O Box 7,Binga
Binga Rdc-Chunga Rhc,C/O Box 7,Binga
Binga Rdc-Lubimbi Rhc,C/O Box 7,Binga
Binga Rdc-Lusulu Rhc,Box 7,Binga
Binga Rdc-Muchesu Rhc,C/O Box 7,Binga
Binga Rdc-Pashu Rhc,Dobola Ward,Binga
Binga Rdc-Siansundu Rhc,C/O Box 7,Binga
Binga Rdc-Siansundu Rhc,Siansundu Rural Area,Binga
Binga Rdc-Sinakoma Rhc,Sinakoma Ward,Binga
Binga Rdc-Sinansengwe Rhc,Sinansengwe Ward,Binga
Bio Analytical Laboratory,1074 Corner Masotsha And Sixthparktown,Harare
Bio Express Laboratory,2 Zambezi Centre,Victoria Falls
Bio Express Labs,40 J. Tongogara Ave,Harare
Biogene Laboratories,155 Kwame Nkurumah Cnr 7Th Street,Harare
Biogene Laboratories,Suite 19Gallena De Falls Complex,Victoria Falls
Biogene Laboratory,685Mukwa Drive,Hwange
Biogenix Medical Labs,44 Chingaira Street,Rusape
Biomedical Research And Training Institute,10 Seagrave,Harare
Biopath Diagnostic Laboratory,266Commercial Street,Chinhoyi
Biopharm(Pvt)Ltd,Unit 1Montagu Investments43 Highfield Road,Harare
Bioreference Clinical Laboratory,15 5Th Streetwiston Park,Marondera
Biosignal Medical Laboratories And Diagnostics,60 Robert Mugabe Way,Zvishavane
Birchenough Bridge Family Surgery,184Birchenough Bridge Business Centre,Birchenough Bridge
Birchenough Bridge Family Surgery,Stand 184,Birchenough Bridge
Birchenough Bridge Pharmacy,191 Birchenough Bridge,Chipinge
Birchenough Bridge X - Imaging,Stand Number 185,Birchenough Bridge
Birthsider Neurosurgical Health Services,Standbic House Cnr 8Th Avenue And Jmn Nkomo Street,Bulawayo
Bishop Gaul Dental Surgery,20 Bishop Gaul Avenuebelvedere,Harare
Blanket Mine Clinic,Blanket Mine Old Gwanda Road,Gwanda
Bles Ran Pharmacy-Lobengula,73Lobengula Street,Bulawayo
Bless Ran Pharmacy Maphisa,Maphisa Business Centre Metro Gardensmaphisa Business Centre,Bulawayo
Bless The Nations Mobile Clinic,Siabuwa Rural Service Centre,Binga
Blessed Heart Health Care Centre,Shop 21 Nkulumane Complex,Bulawayo
Blessed Pharmacy Chegutu,Shop 4591 Henry Hartley Street,Chegutu
Blessed Restoration Dental Clinic,"Stand Number 8673, Spaceman Shopping Centreglen Norah A",Harare
Blood & Bone Marrow Specialist Clinic,58 Duncan Roadsurburbs,Bulawayo
Blue Line Medical Clinic,Shop 1Ground Floornssa Complex,Gwanda
Blue Ocean Pharmacy,50 Angwa Street Angwa Cityshop G 2,Harare
Blue Ocean Surgery,"Flat 1 Hamptom Court, 34 Baines Avenue",Harare
Blue Waters Medical Centre,22417Kuwadzana Extension,Harare
Blue Waters Pharmacy,22417 Kuwadzana Extkuwadzana,Harare
Bluelight Pharmacy,Stand A2Cherimachikonohono,Chinhoyi
Bluemoon Pharmacy,249 Checheche Growth Point,Chipinge
Bluetick Medical Centre,12447 Dzivarasekwa Extentiondzivarasekwa,Harare
Bluetick Pharmacy,1247 Dzivarasekwa Extension,Harare
Bluffhill Maternity Centre,4031 Bluffhill Shopping Centregilchrist Road,Harare
Bluffhill Medical Centre,45Gilchristavonlea,Harare
Bmc Angwa,38Angwa Street,Harare
Bmg Dental,Stand Number 45A Robert Mugabe Way527 Bt,Bulawayo
Bmg Diagnostics,45Robert Mugabe Way,Bulawayo
Bmg Plumtree Clinic,Stand 62Dingumuzi,Plumtree
Boc Occupational Health Centre,Boc House 6Hull Roadsoutherton,Harare
Boddy And Malunga Physiotherapists,14 Epping Roadmount Pleasant,Harare
Bon Sante Family Surgery,11298,Harare
Bonda Mission Hospital,Bonda Mission Mutasa,Mutare
Bonda Pharmacy,Stand 1 Bonda Farm Sanyatwe,Nyanga
Bondolfi Mission Clinic,Bondolfi Mission Clinicbox 90,Masvingo
Bones & Joints Clinic,"Number 13 Fife Avenue, Corner Harare Street",Harare
Booties Pharmacies - Bulawayo,Shop 104B Fort Street,Bulawayo
Booties Pharmacies - Bulawayo,Shop Number 486 Robert Mugabe Way,Bulawayo
Booties Pharmacies - Masvingo,Stand Number 346 Corner Josiah & Ed Mnangangwa Street,Masvingo
Booties Pharmacies - Mutare,"Shop 89, Herbert Chitepo Street, Cecil Chambers",Mutare
Booties Pharmacy,Shop Number 10 Village Walkborrowdale,Harare
Booties Pharmacy,63Marandellas Township Cbd,Harare
Booties Pharmacy - First Street,Shop 56 Speke Avegilford Building,Harare
Booties Pharmacy - Gweru,34 Robert Mugabe Way,Gweru
Booties Pharmacy - Highlands,Shop 45Highlands Shopping Centre,Harare
Booties Pharmacy - Kwekwe,57A Robert Mugabe Way,Kwekwe
Booties Pharmacy - Mbuya Nehanda,Shop 01 Gowero House148 Mbuya Nehanda Avenue,Harare
Booties Pharmacy - Montagu,"Shop 7, Montagu Shopping Centre",Harare
Booties Pharmacy - Westgate,Shop Mp013 Ground Floor Westgate Shopping Centrewestgate,Harare
Booties Pharmacy Eastgate,"Shop 26, Eastgate Market",Harare
Booties Victoria Falls Pharmacy,Stand 3A Victoria Falls,Victoria Falls
Border Timbers - Charter Estate Clinic,Charter Estate P.O Box 2043,Chimanimani
Border Timbers-Imbeza Estate Clinic,Imbeza Estate Penhalonga,Mutare
Borradaile Hospital,Borradaile Trust Sir James Denham Road End,Marondera
Borrowdale Dental Surgery,"Block 3, Sam Levy'S Village",Harare
Borrowdale Dental Surgery,3 Dungavern Roadborrowdale,Harare
Borrowdale Fertility And Reproductive Endocrinology Clinic,4 Borrowdale Lane,Harare
Borrowdale Halfway House,136Harare Driveborrowdale,Harare
Borrowdale Medical Centre - Dr Chidziviva,3 Dungarvon Roadborrowdale,Harare
Borrowdale Medical Practice,3 Dungarvan West Roadborrowdale,Harare
Borrowdale Metro Pharmacy,3 Dungarvon Road Westborrowdale,Harare
Borrowdale Plastic Surgery Clinic,41 Kingsmead Roadborrowdale,Harare
Borrowdale Private Hospital And Critical Care,1 Wenham Close,Harare
Borrowdale Pvt Hsp-Criticare Radiology Unit,1 Wenham Closeborrowdale,Harare
Borrowdale Radiology,Number 3 Borrowdale Lane Borrowdale,Harare
Borrowdale Specialist Eye Clinic,1 Borrowdale Laneborrowdale,Harare
Boston Health-Ngezi,913Turf,Mhondoro Ngezi
Bradford Pharmacy,Stand 227755 Robert Mugabe Rd,Harare
Braeside Dental Surgery,Braeside Shopping Centre,Harare
Braeside Pharmacy,Stand 16858Horatio Avenuebraeside,Harare
Braeside Surgery,Braeside Shopping Centre,Harare
Brain & Spine Clinic,147 Mirose Courtfive Avenue,Harare
Bravette Industrial Clinic,808Seke Roadprospect Industrial Park,Harare
Breemart Private Limited,1715 Wadzanai Township,Shamva
Breeze Dental Care,3342 Teebox Complex Nyamhunga,Kariba
Briashe Surgery,Number 6 Rowland Square Milton Park,Harare
Brice Pharmacy,120 Cbd,Kwekwe
Brice Pharmacy,Stand No 6878 Mkoba 6 Shopping Centre,Gweru
Bridget Wolhuter Speech And Audiology Centre,St. Philips Building Materdei Hospitalburns Drive,Bulawayo
Bright Pharmacy,352Main Street,Chivhu
Bright Pharmacy,3856 Parirenyatwa Street Dzivarasekwa 2,Harare
Bright Pharmacy Southerton,10 Highfield Roadsoutherton,Harare
Bright Westgate Pharmacy,Shop Mk8 Westgate Shopping Mall,Harare
Brio Laboratories,73623 New Lobengula,Bulawayo
Broadlands Dental,8 Broadlands Roadmt Pleasant,Harare
Brompton Mine Clinic,Brompton Mine Mhondorongezi District,Mhondoro Ngezi
Brooke Clinic-Borrowdale,Shop 13Borrowdale Brooke Shopping Centre,Harare
Brooke Dental Clinic,Shop 7Borrowdale Brooke Shopping Centre,Harare
Brooke Healthcare,"Suite F201, Shamwari Complex, 2Nd Street Extension",Harare
Brooke Medical And Dental Clinic,Shop 7Brooke Shopping Centerborrowdale,Harare
Brooklink Pharmacy,Stand 43 R. Mugabe Street,Kadoma
Brothers Medical Services,515896Th Warren Park D,Harare
Bruce Pharmacy Dotito,101 Mukumbura Road,Mt Darwin
Bruce Pharmacy-Mt Darwin,185,Mt Darwin
Bubblecare Pharmacy,"Mhakayakora Shop, Makande Business Centre",Uzumbamarambapfungwe
Bubi Rdc-Bona Rhc,Mtshana Khumalo Villageward 21Bubi Rural District Council,Turk Mine
Bubye River Ranch Clinic,Ward 16Maranda Area,Masvingo
Budget Health Medical Centre,81 Kaguvi Street,Harare
Budiriro 5 Medical Centre,"Shop Number 2, Budiriro 5 Shops",Harare
Budiriro 5 X-Ray Centre,Shop 3Budiriro 5 Complex,Harare
Budiriro Pharmacy,"9195 Shop Number 1, Budiriro Shopping Complex",Harare
Buhera Rdc-Bangure Rhc,Bangure Rhcmurambindap.Bag 2002,Buhera
Buhera Rdc-Betera Rural Health Clinic,Betera Rural Health Clinicp.Bag 3696 Murambinda,Buhera
Buhera Rdc-Chabata Rhc,Chabata Rhcmurambindap.Bag 2002,Buhera
Buhera Rdc-Chapwanya Clinic,Murambindap.Bag 2002,Buhera
Buhera Rdc-Chimbudzi Rhc,Chimbudzi Rhcmurambindap.Bag 2002,Buhera
Buhera Rdc-Chirozva Clinic,Chirozva Clinicmurambindap.Bag 2002,Buhera
Buhera Rdc-Chiwenga Rhc,Chiwenga Rhcmurambindap.Bag 2002,Buhera
Buhera Rdc-Chiweshe Clinic,Murambindap.Bag 2002,Buhera
Buhera Rdc-Garamwera Rhc,Garamwera Rhcmurambindap.Bag 2002,Buhera
Buhera Rdc-Gombe Rhc,Gombe Rhcmurambindap.Bag 2002,Buhera
Buhera Rdc-Gunura Rhc,Gunura Rhcmurambindap.Bag 2002,Buhera
Buhera Rdc-Mudanda Rhc,Mudanda Rhcmurambindap.Bag 2002,Buhera
Buhera Rdc-Mudawose Rhc,Mudawose Rhcmurambindap.Bag 2002,Buhera
Buhera Rdc-Mutepfe Rhc,Mutepfe Rhcmurambindap.Bag 2002,Buhera
Buhera Rdc-Mutiusinazita Rhc,Mutiusinazita Rhcmurambindap.Bag 2002,Buhera
Buhera Rdc-Muunyanyi Clinic,Muunyanyi Clinicmurambindap.Bag 2002,Buhera
Buhera Rdc-Muzokomba Rural Health Centre,Muzokomba Clinic P.Bag 2002Murambinda,Buhera
Buhera Rdc-Rambanapasi Rhc,Rambanapasi Rhcmurambindap.Bag 2002,Buhera
Bulawayo Area Hospital,1 Medical Company Imbizo Barracksllewellin,Bulawayo
Bulawayo Cancer Clinic,Suite 101First Floorhaylet House,Bulawayo
Bulawayo Casualty Centre,29A Jason Moyobetween Fist And Second Avenue,Bulawayo
Bulawayo Centre Medical Chambers,Suite 104 Medical Chambersbulawayo Centre,Bulawayo
Bulawayo Centre Pharmacy,Shop 56Bulawayo Centre94 Jmn Nkomo Street,Bulawayo
Bulawayo Dental Clinic,9826Luveve 4Inside Luveve Private Clinic,Bulawayo
Bulawayo Dental Practice,22A Jason Moyo Street,Bulawayo
Bulawayo East Surgery,Stand Number 16249Parklands,Bulawayo
Bulawayo Eye Clinic,121A George Silundika Street,Bulawayo
Bulawayo Eye Institute,Mater Dei Hospitalburns Drive Malindela,Bulawayo
Bulawayo Eye Institute,Suite 302Lancet House9Th Avenue Between J.Tongogara/S Parirenyatwa,Bulawayo
Bulawayo Eye Institute,302Alancet House9Th Ave/J.Tongogara Street,Bulawayo
Bulawayo Gvt. Dental Services,Cnr 11Th Ave & H/Chitepo Stold Memorial Buildings,Bulawayo
Bulawayo Haematology Clinic,Unit 3B Mater Dei Hospital3770 Malindela,Bulawayo
Bulawayo Haemodialysis Centre,Number 44Th Avenue / Josiah Tongogara Street,Bulawayo
Bulawayo Island Hospice Services,2 George Silundika Street,Bulawayo
Bulawayo Medical Group Clinic,45 Robert Mugabe Way Between 3Rd & 474 Avenue,Bulawayo
Bulawayo Mining Company - How Mine Clinic,Bulawayo Mining Company,Bulawayo
Bulawayo Occupational Therapy Services,22A Jason Moyo,Bulawayo
Bulawayo Oncology Pharmacy,Rhodes Building 9Th Avenue Between R.G Mugabe &G Silundika,Bulawayo
Bulawayo Paediatric And Family Medical Centre,"Suite 22 Medical Centre,Corner 8Th And J. Tongogara",Bulawayo
Bulawayo Paediatric And Family Medical Centre,Room 2 Of Suite 22 Medical Centre8Th And J.Tongogara,Bulawayo
Bulawayo Polytechnic,62 Park Roadbulawayo Surbubs,Bulawayo
Bulawayo Urological Services,405A Lancet House 9Th Ave & J. Tongorora St,Bulawayo
Bulawayo West Hospital,26021Cowdray Park,Bulawayo
Bulawayo West Pharmacy,26021 Cowdray Park,Bulawayo
Bulilima Rdc-Dombodema Clinic,Nyeleward 4,Plumtree
Bulilima Rdc-Huwana Clinic,Huwanaward 8,Plumtree
Bulilima Rdc-Madlambudzi Clinic,Madlambudzi Ward 11,Plumtree
Bulilima Rdc-Makhulela Clinic,Makhulela Ward 9,Plumtree
Bulilima Rdc-Masendu Clinic,Masendu Ward 7,Plumtree
Bulilima Rdc-Ndiweni Clinic,Ndiweni Village Ward 2,Plumtree
Bulilima Rdc-Sikhati Clinic,Tshankwaward 1,Plumtree
Bumble Bee Pharmacy,"190 Waterfalls Avenue, Houghton Parkwaterfalls",Harare
Bumble Bee Pharmacy-Harare,4292Shop 99Machipisa,Harare
Bumhudzo Old Peoples Hospital Home,287St Mary'S,Chitungwiza
Burure Mission Clinic(Elcz),Burure Mission Clinicp Bag 6225,Gokwe
Butler-Rees & Sanders Opticians,259Commercial Street,Chinhoyi
C And H Clinic,4412 Kushanda Crescentbudiriro 2,Harare
C And H Dental Clinic,225 Kushanda Crescentpahasha Complexbudiriro 2,Harare
C And H Diagnostics Medical Ultrasound Scanning,Number 9 Samora Machel Avenue,Harare
C S Dental Surgery,18 East Roadbelgravia,Harare
C.G.Pharmacy,Shop 1A Mersey Building Parktown,Harare
Cairns Foods Industrial Clinic - Harare,Number 1 Upton Road,Harare
Cairns Foods Industrial Clinic-Mutare,10Bvumba Road,Mutare
Calm Care And Beauty Family Health Care,4609Mangava,Beitbridge
Calundike Exports Clinic,171 Mupfuti Roadruwa,Harare
Calvary Medclinic,27473 Dangamvura,Mutare
Calvary Renal And Dialysis Centre,No. 7 Simon Muzenda Street,Masvingo
Cambridge Medical Centre,Stand 215Cambridge Roadavondale,Harare
Cambridge Road Paediatrics,Number 14 Broadlands Road,Harare
Cambridge Road Paediatrics,4 Borrowdale Roadborrowdale,Harare
Cambridge Road Paediatrics Emergency,Cambridge Road Entrance St Annes Hospital Stand 215,Harare
Campion Street Laboratory,Number 7 Campion Street,Kadoma
Cana Pharmacy,Stand No. 89 & 90Chinzanga Shopping Centre,Mutoko
Cancer Association Of Zimbabwe,60 Livingstone Avenue,Harare
Cancer Health Clinic,8 Angus Close Avondale,Harare
Cande Medical Centre,5 4Th Street,Marondera
Capital Ambulances Pvt Ltd,Stand Number 8819A Sante 24Hr Hospital Shop Number 5Southerton,Harare
Capital Pharmacy - Domboshava,219 Chirodzero Business Centre,Domboshava
Caps Pharmaceuticals (Pvt) Ltd,2Manchester Roadsoutherton,Harare
Cardinal Eye Care Clinic,Stand 987 Machipisa Highfield,Harare
Cardinal Healthcare Pharmacy,1746 Runyararo Shops,Harare
Care Link Medical Centre,8903Mkhosana,Victoria Falls
Carefirst Pharmacy,106 Mainge Streetrimuka,Kadoma
Carefirst Pharmacy,Shop 5 Ngena Complex,Mberengwa
Carelink Pharmacy,Stand Number 62,Lupane
Carelink Pharmacy - Bulawayo,4338 Emakhandeni,Bulawayo
Carelink Pharmacy Hwange,Stand 2111 Empumalanga,Hwange
Caremark Pharmacy,Stand Number 60 Ngundu Business Centre,Ngundu
Caremart Pharmacy,"Shop Number 2, Kamfinsa Arcade 178 Arcturus Road, Greendale",Harare
Caremax Pharmacy,Shop No. 13643Zengeza 2 Shopping Centrezengeza 2,Chitungwiza
Caremed Pharmacy,70-72 Greengrove Driveathlone Park,Harare
Carepath Clinical Laboratory,19324 Zengeza 4,Chitungwiza
Careplus Pharmacy,Stand 1033 Gokwe Centre,Gokwe
Carepoint Pharmacy,Stand Number 675 42 Jason Moyo/Cnr Inez Terrace,Harare
Carepoint Pharmacy,"Stand Number 2380, 61 R.Mugabe Wayshop 1",Harare
Carepoint Pharmacy,113 Mbuya Nehanda Corner Albion,Harare
Carepoint Pharmacy,"30 Robert Mugabe Way, Cnr Chinhoyi Street",Harare
Carepoint Pharmacy,19 Julius Nyerere Way,Harare
Carepoint Pharmacy,Stand 236329 Speke Avenuecnr J.Nyerere,Harare
Carestream Ultrasound,115 Fife Avenuecorner 3Rd Street,Harare
Carewell Pharmacy,146 Mbuya Nehanda,Harare
Carewell Pharmacy,Shop 3Sanganayi Inn Shopstynwarld,Harare
Carewell Pharmacy - Avonlea,Shop No. 9A Avonlea Shopping Centre,Harare
Carexpress Pharmacy,57Central Avenue,Harare
Carexpress Pharmacy - Southerton,35Lobengula Roadsoutherton,Harare
Carexpress Pharmacy-Harare,Shop 1332527 K.Kaunda Avenue,Harare
Caring Hands,591Manhenga Business Centre,Bindura
Carmentis Medical Centre,Exquisicare Medical Centre1&2 Larkrise Roadborrowdale,Harare
Carnaud Metalbox Clinic,35-36 Cnr Auckland & Highfield Road Southerton,Harare
Cassims Prosthetics & Orthotics,107 Josiah Tongogara Avenue Corner 11Th Avenue,Bulawayo
Cbd 24Hr Medical Centre,158 Samora Machel Avenue,Harare
Cbd 24Hr Medical Centre,158Samora Machel Avenue,Harare
Cbd Specialist Hospital Hemodialysis Unit,69 Central Avenue,Harare
Cbd Specialist Hospital Maternity,69 Central Avenue,Harare
Cecil Chambers Dental Clinic,Suite 19Cecil Chambers Building89,Mutare
Cenda Eye Care,4 Mipfpumula Centre,Victoria Falls
Cenda Eye Care Pvt Ltd- Bulawayo,Shop 2 Mimosa House9Th Avenue & Main Street,Bulawayo
Centenary Pharmacy,239 Gatu Business Centre,Centenary
Central 24Hr Accident & Emergency,21 Robson Manyika Avenue,Harare
Central City Clinic,89 Leopold Takawira Avenue,Harare
Central Park Dental Clinic,Suite 24 First Floor Central Park Mallcnr 2Nd Street And C Avenue,Mutare
Central Pharmacy - Mutare,69A Herbet Chitepo Street,Mutare
Centre For Diabetes Management,8097Belvedere Northbelvedere Road,Harare
Centre For Diabetes Management Laboratory,40278Simbarashe Closebelvedere,Harare
Centrepoint Pharmacy,148Samora Machel Avenue,Harare
Cerdavale Medical Clinic,845 Mubairo Road Hatcliffe,Harare
Cerdavale Medical Clinic,125 Kwane Nkurumah Ave,Harare
Chachacha Pharmacy,Shop Number 85Chachacha Junction Mall,Shurugwi
Chadcombe Medical Centre,"23 A Chadcombe Shops, Shop 4, Cloverly Road,",Harare
Chagwesha And Associates Occupational Therapists,1 Nurses Homeend Sir Denham Roadborrodaile Trust,Marondera
Chakadini Clinic,Mushapaidze Villagenenguwwo Area Ward 10,Marondera
Chams Ambulance Services,7852 Mangena Laneglen Norah A,Harare
Chams Medical Centre- Lab,7582 Mangena Lane Chitubu,Harare
Chams Medical Surgery,33 Area Ggwenyambika Shopsmufakose,Harare
Chams Radiology And Ultrasound Scan,7582Mangena Laneglennorah A,Harare
Channel Pharmacy - Masvingo,294 Mnangagwa St Street,Masvingo
Channel Surgery,400 Robert Mugabe Way,Masvingo
Chardley Clinic,53Rd Street,Mutare
Charles Street Imaging Centre,581Charles Street,Chegutu
Charloriet Rehab And Wellness Centre,42Boscobel East Roadhighlands,Harare
Charms Medical Centre,7582 Mangena Lane Chitubu,Harare
Charter House Medical Centre Hospital,77 Fort Street,Bulawayo
Charterbridge Pharmacy,Shop 6 Stand 504837-39/2Nd Umtali Township,Mutare
Chasey Dental Surgery,7Milton Road,Kadoma
Chasiyatende Clinic - Chivi,P.Bag 527Chivi Rdc,Chivi
Chayil Neuroscience Institute,Suite 11Westend Clinic13 Baines Avenues,Harare
Chayo Health Clinic,2068Lot 1 Of Spitzkop,Zvimba
Checheche Angel Pharmacy,Stand 354Chechehche Growth Point,Chipinge
Checheche Premium Clinic,Stand 470 Checheche Business Centre,Chipinge
Checkline Medical Centre,4102Nharira View,Norton
Chegutu Dental Surgery,4038 Warwick Road,Chegutu
Chegutu District Hospital,No. 1 Queen Street,Chegutu
Chegutu Nursing Home,No. 6 Wise Drive,Chegutu
Chegutu Pharmacy,89 Queen Street,Chegutu
Chegutu Population Maternity Home,2058 Maketa Heroes,Chegutu
Chegutu Rdc-Brunswick Clinic,Brunswick Clinicward 24,Chegutu
Chegutu Rdc-Chikara Clinic,Chikara Clinicward 1,Chegutu
Chegutu Rdc-Chivero Clinic,Chivero Villageward 8Mhondoro,Chegutu
Chegutu Rdc-Dombwe Clinic,Dombwe Clinic Box 31Ward 15,Chegutu
Chegutu Rdc-Homedale Clinic,Homedale Clinicward 12,Chegutu
Chegutu Rdc-Mafuti Clinic,-Mafuti Clinicward 26,Chegutu
Chegutu Rdc-Mhondoro North Clinic,Mhondoro North Clinicward 9Mhondoro,Chegutu
Chegutu Rdc-Mpawose Clinic,Mpawose Clinicward 3,Chegutu
Chegutu Rdc-Rwizi Clinic,Rwizi Village Mhondoroward 2,Chegutu
Chegutu Rdc-Selous Clinic,Selous Clinicward 11,Chegutu
Chegutu Rdc-Usmore Murambe Clinic,Usmore Murambe Clinicward 23,Chegutu
Chegutu Rdc-Watyoka Clinic,Watyoka Rhcbox 234Ward 7,Chegutu
Chemayde Pharmacy,15Windermere Lodgemazowe Street,Mazowe
Chemukute Clinic,Kadoma City Councilbox 460,Kadoma
Chest Medical-Dr Parirenyatwa Surgery,19St Quinton Roadeastlea,Harare
Chez Nous Surgery,54 Chez Nous Buildingcnr Jason Moyo And Forth Avenue,Bulawayo
Chibi - Turn Surgery,P.Bag 9028Ngomahuru Hospital,Masvingo
Chibonda Dental Surgery,125Kwame Nkrumah Avenue,Harare
Chibonda Surgery- Kwame Nkrumah,125 Kwame Nkrumah Ave,Harare
Chibondo Clinic,302Chibondo,Hwange
Chicago Medical Clinic,Suite 4No. 143 Five Avenue Medical Centre,Harare
Chidamoyo Christian Hospital,Hurungwe District,Karoi
Chidawanyika Surgery,106 Prince Edward Stmilton Park,Harare
Chidenga Clinic,Mutoko District Box 30,Mutoko
Chidiya Clinic,"Ward 26, Chizanga Village",Murewa
Chido Surgery,11408Kuwadzana Extension,Harare
Chifmatt Investments,36B First Street,Bindura
Chihaka Medical Practice Pl,11 Main Street,Gweru
Chihoza Clinic - Pvt Ltd,Bag 509Mt Serinda Hospmt Selinda,Chipinge
Chikanga Day & Night Clinic,Number 4707 Bernwin,Mutare
Chikara - Mudawarima Surgery,4 Cleveland Avenuemilton Park,Harare
Chikomba Rdc-Bvumbura Clinic,Ward 19Bvumbura Townshipnharira Commanal Land,Chivhu
Chikomba Rdc-Chambara Clinic,Ward 6,Chivhu
Chikomba Rdc-Chivhu Clinic,Ward 10Chivhu Community Hall,Chivhu
Chikomba Rdc-Gandami Clinic,Ward 2Gandami,Chivhu
Chikomba Rdc-Gokomere Clinic,Ward 20Gokomere,Chivhu
Chikomba Rdc-Lancashire Clinic,Ward 14Lancashire Hq,Chivhu
Chikomba Rdc-Madamombe Clinic,Ward 15,Chivhu
Chikomba Rdc-Masasa Clinic,Ward 17Mbiru Communal Lands,Chivhu
Chikomba Rdc-Mbiru Clinic,Ward 17Mbiru,Chivhu
Chikomba Rdc-Murezi Clinic,Ward 15Murezi Small Scale Farming Area,Chivhu
Chikomba Rdc-Mushipe Clinic,Ward 30Matove -Save North Communal Lands,Chivhu
Chikomba Rdc-Mutoro Clinic,Ward 4Wiltshire,Chivhu
Chikomba Rdc-Nhangabwe Clinic,Ward 24Warikandwa,Chivhu
